['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

AdaBoost (RF) (accuracy): [0.962925, 0.93685, 0.94875, 0.932925, 0.91895, 0.930375, 0.91695, 0.904625, 0.897775, 0.9344, 0.919]

LightGBM (accuracy): [0.9510124999999998, 0.922875, 0.9318, 0.928075, 0.9166, 0.936775, 0.920825, 0.90525, 0.86565, 0.923125, 0.907925]

AdaBoost (RF) (auc): [0.9942700621075369, 0.9358728810834933, 0.9494303578824601, 0.9313188118352804, 0.9210906905457501, 0.9322279283257818, 0.9143029587080704, 0.9143695910797343, 0.9104828499750734, 0.9342976385605424, 0.9190959032071255]

LightGBM (auc): [0.9905716436399272, 0.9224367824572848, 0.9319406830853078, 0.9268856788739044, 0.9179187191000646, 0.9377800677035136, 0.9192433248752226, 0.91154365560635, 0.8789981927217595, 0.9230902622068123, 0.9079693180105587]

AdaBoost (RF) (precision): [0.9753812684835232, 0.9649741160920806, 0.9706194690265487, 0.9784866043256267, 0.9782382853081087, 0.9800822342072942, 0.9742884477397752, 0.9751296331860957, 0.9715847935592199, 0.9590829485750677, 0.9565382734829141]

LightGBM (precision): [0.959405410500997, 0.9317713016343153, 0.9395186982306524, 0.9589666499638104, 0.953595077949841, 0.9647316650527497, 0.9509091932669032, 0.9593009780744449, 0.9529520295202952, 0.9305938873556169, 0.9242895664799834]

AdaBoost (RF) (recall): [0.9569935229865247, 0.9026375437873481, 0.9289067415186565, 0.8808097500516422, 0.8628406076681939, 0.8838485986709044, 0.8492650891274888, 0.8603380353285043, 0.8680950915525465, 0.9070012547051443, 0.8782860278345888]

LightGBM (recall): [0.9515356440904691, 0.907531423861529, 0.9276968494410298, 0.8894856434620946, 0.8820352061731372, 0.911538091110469, 0.8803815281976441, 0.8766467573177448, 0.834474534543776, 0.9138268506900878, 0.8891105901132339]

