Size: 30000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.8798666666666668, 0.8003333333333333, 0.6974, 0.6859, 0.6641333333333334, 0.6978666666666666, 0.6737333333333333, 0.6523, 0.6259, 0.7060666666666666, 0.6914333333333333]

Decision Tree (accuracy): [0.9107833333333334, 0.8696333333333334, 0.8927, 0.8446666666666667, 0.8398333333333333, 0.8660666666666667, 0.8427, 0.8263666666666667, 0.8526, 0.8477666666666667, 0.8365333333333334]

Random Forest (accuracy): [0.9214166666666668, 0.8874, 0.9146666666666666, 0.8727333333333334, 0.8506333333333334, 0.8732333333333333, 0.8538666666666667, 0.8193, 0.8417666666666667, 0.8819666666666667, 0.8571666666666666]

AdaBoost (RF) (accuracy): [0.9581833333333332, 0.9301333333333334, 0.9444666666666667, 0.9274, 0.9139666666666667, 0.9258333333333333, 0.9124333333333333, 0.8971333333333333, 0.8991666666666667, 0.9274333333333333, 0.9142333333333333]

LightGBM (accuracy): [0.9492666666666668, 0.9186666666666666, 0.9308666666666666, 0.9294333333333333, 0.9161, 0.9372666666666667, 0.9187333333333333, 0.9043666666666667, 0.8675, 0.9236, 0.9085]

Nearest Neighbors (auc): [0.9416442447177958, 0.8011551895529042, 0.6992249771101667, 0.6830063689474446, 0.6707087488220003, 0.7037777747737336, 0.6645420502296567, 0.6836052222335491, 0.6601766685772296, 0.706269508614168, 0.6914789202829454]

Decision Tree (auc): [0.9354785519948081, 0.8690458856308725, 0.8925838608849874, 0.8424055855100702, 0.8419599393731072, 0.8679115181243724, 0.8404487782086162, 0.8357029984454897, 0.8530891448031794, 0.8477664981784567, 0.8365380150427032]

Random Forest (auc): [0.9799725568457662, 0.8863094183104407, 0.9151720299864324, 0.8695061740389772, 0.8540498138693824, 0.8762892291992147, 0.8501427256973002, 0.8337276449816774, 0.8506020699288279, 0.8819915610057567, 0.8571784520660233]

AdaBoost (RF) (auc): [0.9930071263005097, 0.9290284693796704, 0.9450957246096382, 0.9253510071469524, 0.9162296322143598, 0.9278347792679583, 0.9096983864576926, 0.9070624576870774, 0.9103834026838878, 0.927483324349899, 0.9142439316795685]

LightGBM (auc): [0.9899276065683391, 0.9180680508753525, 0.9310578579120624, 0.9280999515598372, 0.9174928504844863, 0.9382071746595015, 0.9170254788763195, 0.9110130063530228, 0.8799624942053014, 0.923613752723986, 0.9085048734936799]

Nearest Neighbors (precision): [0.8978872459200806, 0.7754404078208685, 0.7367219152854512, 0.7012674474570832, 0.7752380952380953, 0.8053395784543326, 0.7856166935784374, 0.8387793427230047, 0.8178741732041225, 0.7699130434782608, 0.7910462878557682]

Decision Tree (precision): [0.9189727282566998, 0.8766676128299744, 0.8963225806451612, 0.8821598812221615, 0.8927737226277372, 0.9128882541949304, 0.8738592420726992, 0.9094140882159315, 0.9157331273108548, 0.8481459290326876, 0.8488532743851893]

Random Forest (precision): [0.9343662291137436, 0.909980142678532, 0.9323936134678336, 0.9430311118525315, 0.9368006304176517, 0.9503058103975535, 0.9225310467179184, 0.9270644124633226, 0.927007299270073, 0.8936184796764686, 0.8918622504935293]

AdaBoost (RF) (precision): [0.9711942547801993, 0.9589455807428192, 0.9647390691114246, 0.9762330097087378, 0.9747733255337818, 0.9786441163823993, 0.9707766212970377, 0.9707118381069374, 0.9687927107061504, 0.9538037719855902, 0.9500398233292303]

LightGBM (precision): [0.9575363391499299, 0.9306020662629142, 0.9399279397314118, 0.9582093991671624, 0.9541341870824054, 0.9633412242137301, 0.9514166981488478, 0.9604885952885455, 0.9519869479081692, 0.93066829004329, 0.924040124524386]

Nearest Neighbors (recall): [0.8824558693241297, 0.8272182831968059, 0.6450177362141245, 0.6053597396302195, 0.49675595811652856, 0.5516909452608612, 0.43963300201570865, 0.5062050206834022, 0.5456411308943506, 0.5892453081325703, 0.5205278592375366]

Decision Tree (recall): [0.9193398891143296, 0.8504164658910993, 0.8960335375685263, 0.7817325669967454, 0.7857005203314704, 0.8204453571199384, 0.7853617849447417, 0.7827959426531422, 0.8514546667350813, 0.8478637029149474, 0.8189816049053585]

Random Forest (recall): [0.9222418076199801, 0.8517243753011634, 0.9001612383102225, 0.7829097707914965, 0.7636667309051198, 0.7976641211576718, 0.7590185584207966, 0.7519691732305774, 0.8210785571347939, 0.8676294423000133, 0.8129832044788057]

AdaBoost (RF) (recall): [0.9524142296085876, 0.8939905004474427, 0.926410835214447, 0.8703690880132955, 0.8563628187833237, 0.876339600847077, 0.8427747271842636, 0.8507961693205645, 0.8729026630406896, 0.8986423532543591, 0.8745001332977873]

LightGBM (recall): [0.9501468706773839, 0.8990844634129552, 0.925378910029023, 0.8923204764213004, 0.880644954069506, 0.9140088558044023, 0.8752345867797316, 0.8733495778319261, 0.8383190517727949, 0.9156794888859311, 0.8902292721940815]

