Size: 20000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Optimized LightGBM (accuracy): [0.9619500000000001, 0.94015, 0.94575, 0.94135, 0.93315, 0.93885, 0.92725, 0.91315, 0.89405, 0.9435, 0.92495]

Hist Gradient Boosting (accuracy): [0.9468250000000001, 0.9179, 0.92965, 0.9238, 0.90575, 0.92885, 0.9151, 0.8964, 0.8599, 0.92475, 0.9027]

AdaBoost (HGB) (accuracy): [0.96035, 0.93805, 0.9448, 0.93885, 0.92755, 0.9417, 0.9239, 0.9146, 0.8943, 0.94405, 0.92785]

Optimized LightGBM (auc): [0.9934564311090075, 0.9395131783318121, 0.9460778696352078, 0.9401298241467243, 0.9347274511340855, 0.9401994666853795, 0.9254163395760906, 0.9207822323295248, 0.9063622410240483, 0.9435626285716663, 0.9251813980362565]

Hist Gradient Boosting (auc): [0.988714629955161, 0.917305967878817, 0.9299184547325767, 0.9223318702914747, 0.9077659820365339, 0.9300841442878156, 0.9134434226757878, 0.9040608800614724, 0.8742394865456249, 0.9247949253422324, 0.9028742708706398]

AdaBoost (HGB) (auc): [0.9928620383030567, 0.9374955965476934, 0.945039586138431, 0.9376098562516535, 0.9291043104400365, 0.9428546046369597, 0.9220529806629392, 0.9216244164853639, 0.9050677118132505, 0.9440840153288387, 0.9279926490727695]

Optimized LightGBM (precision): [0.9717251125671771, 0.9582750833422948, 0.9574615080931701, 0.9784632641615255, 0.9717695900363259, 0.977137488255559, 0.9717579250720461, 0.9718336306450098, 0.9683527885862516, 0.9598306484923586, 0.9527076955557902]

Hist Gradient Boosting (precision): [0.955695860086351, 0.9323485335046029, 0.9406145361433917, 0.9670015985384791, 0.9540767513553736, 0.9639854696419304, 0.9521749032111136, 0.9588213071401587, 0.9515928101085602, 0.9361006032103057, 0.9228369384359401]

AdaBoost (HGB) (precision): [0.9679012204246391, 0.9530932791964953, 0.9543266869659169, 0.9763001235538582, 0.9656674618815475, 0.9747109826589595, 0.9681660899653979, 0.9700615556799105, 0.9646715829188819, 0.9529614954790206, 0.9450572105968457]

Optimized LightGBM (recall): [0.9589268599552241, 0.9167695473251029, 0.9368421052631579, 0.8989076669414674, 0.8978711162255466, 0.9031262060980316, 0.8744813278008299, 0.8780963691890058, 0.8646541074737493, 0.9261658031088082, 0.8955149831315737]

Hist Gradient Boosting (recall): [0.9475476899735416, 0.8960905349794238, 0.9223563495895702, 0.8727328936521023, 0.8606635980053702, 0.8961790814357391, 0.8674273858921162, 0.8612147947064812, 0.8256639901173564, 0.9123156636110004, 0.8805318515578487]

AdaBoost (HGB) (recall): [0.9599693682247755, 0.9176954732510288, 0.9382906808305167, 0.8957131079967023, 0.892788645953203, 0.9111346970281744, 0.870746887966805, 0.8823379708177808, 0.868591723285979, 0.9346353128736549, 0.909704306410002]

