Size: 20000

['Training data', '11', '12']

AdaBoost (CB) (accuracy): [0.9737599999999998, 0.9756, 0.964]

Optimized LightGBM (accuracy): [0.9723750000000001, 0.97565, 0.9653]

AdaBoost (CB) (auc): [0.9962416269031923, 0.9755903236505945, 0.964010290386067]

Optimized LightGBM (auc): [0.9963508103565051, 0.9756376242636103, 0.9653072492930471]

AdaBoost (CB) (precision): [0.9797184565444039, 0.9732355273592387, 0.9657575154290264]

Optimized LightGBM (precision): [0.9795912150389959, 0.9725824012669504, 0.9666799283867118]

AdaBoost (CB) (recall): [0.9711427554591369, 0.9782781984854524, 0.9626910101210557]

Optimized LightGBM (recall): [0.9686476851233226, 0.9790753288162615, 0.9643778527485612]

