Train size: 1000

Test size: 1000

['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']

XGBoost (accuracy): [0.826, 0.834, 0.886, 0.842, 0.844, 0.888, 0.881, 0.86, 0.863, 0.881, 0.865]

AdaBoost (CB) (accuracy): [0.811, 0.829, 0.875, 0.842, 0.833, 0.896, 0.87, 0.865, 0.822, 0.868, 0.852]

AdaBoost (RF) (accuracy): [0.815, 0.819, 0.879, 0.808, 0.801, 0.878, 0.863, 0.828, 0.825, 0.857, 0.834]

LightGBM (accuracy): [0.862, 0.838, 0.889, 0.858, 0.855, 0.891, 0.876, 0.877, 0.822, 0.889, 0.863]

AdaBoost (LGBM) (accuracy): [0.852, 0.826, 0.884, 0.85, 0.851, 0.889, 0.873, 0.871, 0.846, 0.886, 0.854]

XGBoost (auc): [0.8270114942528737, 0.8340481029268215, 0.8859962511414794, 0.8375494958239151, 0.8421984962888152, 0.8849974200206397, 0.8809177130376694, 0.8578390610585018, 0.8352747252747252, 0.8820551378446115, 0.8634649565259163]

AdaBoost (CB) (auc): [0.8173645320197046, 0.8288913603558913, 0.8745854627597368, 0.8386075442055819, 0.8316620978213821, 0.8934146026831786, 0.8698513146473272, 0.8511515437346671, 0.7918681318681319, 0.8704761904761905, 0.8508750860674769]

AdaBoost (RF) (auc): [0.8221264367816092, 0.8191779616264743, 0.8801767090148832, 0.8014556180765964, 0.800040879142019, 0.8756288699690402, 0.8627490589661229, 0.8190957268563911, 0.8014285714285714, 0.8595989974937344, 0.8325246993643016]

LightGBM (auc): [0.8603448275862068, 0.8381686962922661, 0.889612938368125, 0.854197726799083, 0.8531757482486093, 0.8879321465428277, 0.8758515306551036, 0.8714685233680431, 0.7984615384615384, 0.890576441102757, 0.8619117388032217]

AdaBoost (LGBM) (auc): [0.8517241379310345, 0.8259509369349187, 0.8845704032426025, 0.8460058673592075, 0.848903477131727, 0.8857391640866874, 0.872809421139161, 0.8678982620315325, 0.814945054945055, 0.8875187969924812, 0.8527645674208579]

XGBoost (precision [0]): [0.7709251101321586, 0.828, 0.8786008230452675, 0.7954545454545454, 0.8626126126126126, 0.8981481481481481, 0.890495867768595, 0.817966903073286, 0.8469055374592834, 0.9076305220883534, 0.8353982300884956]

AdaBoost (CB) (precision [0]): [0.7361963190184049, 0.8316221765913757, 0.8757894736842106, 0.8074324324324325, 0.8417582417582418, 0.9036697247706422, 0.8879492600422833, 0.8805555555555555, 0.7756410256410257, 0.9189765458422174, 0.8327272727272728]

AdaBoost (RF) (precision [0]): [0.7383367139959433, 0.8062622309197651, 0.8477842003853564, 0.7492447129909365, 0.8, 0.8795454545454545, 0.8947368421052632, 0.8015267175572519, 0.7643504531722054, 0.9098712446351931, 0.8096085409252669]

LightGBM (precision [0]): [0.8263888888888888, 0.8254901960784313, 0.8687872763419483, 0.8156146179401993, 0.8758465011286681, 0.9025522041763341, 0.8942917547568711, 0.8557213930348259, 0.7590361445783133, 0.9241803278688525, 0.843351548269581]

AdaBoost (LGBM) (precision [0]): [0.8076923076923077, 0.8252032520325203, 0.8645418326693227, 0.806930693069307, 0.8764302059496567, 0.9020979020979021, 0.8969957081545065, 0.8365384615384616, 0.8245033112582781, 0.9202453987730062, 0.8321299638989169]

XGBoost (precision [1]): [0.8717948717948718, 0.84, 0.8929961089494164, 0.9166666666666666, 0.829136690647482, 0.8802816901408451, 0.872093023255814, 0.8908145580589255, 0.8701298701298701, 0.8545816733067729, 0.903448275862069]

